Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
john,0.663,56,0.679,626,0.000,0.000,549.274
icse,-,-,-,-,-,-,-,-
hn,0.648,614,0.346,6421,0.017,0.000,674.906
ace,0.304,111,1.000,1045,0.000,0.000,95.231
overview,0.334,42,0.981,411,0.000,0.000,36.149
fwt-main,0.421,174,0.793,1713,0.001,0.000,123.876
ieeexplore,0.369,285,0.947,2771,0.002,0.000,223.810
fwt-space,0.249,63,1.000,748,0.000,0.000,44.562
fwt-running,0.187,48,1.000,492,0.000,0.000,36.642
ddg,0.250,57,1.000,543,0.000,0.000,38.066
john,0.429,56,0.875,626,0.000,0.000,617.909
icse,0.576,256,0.680,3295,0.002,0.000,1752.955
hn,0.572,614,0.504,6445,0.019,0.001,686.999
ace,0.314,111,1.000,1045,0.000,0.000,98.805
overview,-,-,-,-,-,-,-,-
fwt-main,0.412,174,0.793,1717,0.001,0.000,139.279
ieeexplore,0.386,285,0.947,2777,0.002,0.000,224.095
fwt-space,0.293,63,1.000,738,0.000,0.000,45.494
fwt-running,0.188,48,1.000,492,0.000,0.000,35.536
ddg,0.247,57,1.000,543,0.000,0.000,39.189
john,0.393,56,0.875,627,0.000,0.000,455.218
icse,-,-,-,-,-,-,-,-
hn,0.696,614,0.384,6462,0.019,0.000,671.746
ace,0.314,111,1.000,1045,0.000,0.000,96.088
overview,-,-,-,-,-,-,-,-
fwt-main,0.314,174,1.000,1713,0.001,0.000,143.540
ieeexplore,0.380,285,0.944,2769,0.002,0.000,221.557
fwt-space,0.227,63,1.000,747,0.000,0.000,44.999
fwt-running,0.204,48,1.000,497,0.000,0.000,34.221
ddg,0.257,57,1.000,543,0.000,0.000,38.131